[0916/155545.178:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0916/160643.688:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0916/160643.690:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0916/160643.693:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0916/160643.995:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0916/160643.998:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0916/160644.001:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0916/160644.173:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0916/160644.220:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0916/160644.295:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0916/160644.296:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0916/160644.495:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0916/160644.507:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0916/160644.509:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0916/160644.552:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0916/160644.554:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0916/160644.725:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0916/160644.783:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0916/160644.788:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0916/160644.932:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0916/160644.934:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0916/160645.009:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0916/205859.138:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0916/205859.185:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0916/205859.666:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
